,T1_CPU,T1_Time,T2_CPU,T2_Time
111,113,1.7994232177734375,416,1.8193981647491455
112,235,1.8048863410949707,250,1.829641342163086
113,147,1.8086421489715576,255,1.8339171409606934
114,76,1.8045752048492432,186,1.8294453620910645
115,112,1.8052983283996582,176,1.8296079635620117
116,233,1.801820993423462,477,1.8317749500274658
117,219,1.8040103912353516,235,1.8241281509399414
118,40,1.8047842979431152,134,1.8256723880767822
119,194,1.8016204833984375,431,1.8316900730133057
120,6,1.802642822265625,108,1.8276822566986084
121,130,1.8080906867980957,436,1.8292665481567383
122,85,1.8034942150115967,233,1.8234975337982178
123,225,1.8118178844451904,384,1.8319075107574463
124,65,1.8059377670288086,162,1.8265163898468018
125,242,1.8083875179290771,491,1.8287949562072754
126,45,1.8049030303955078,226,1.8293743133544922
127,75,1.8052160739898682,309,1.8300530910491943
128,314,1.8086559772491455,436,1.8289978504180908
129,30,1.7966737747192383,135,1.8266143798828125
130,186,1.8051300048828125,556,1.825162649154663
131,62,1.800278902053833,452,1.8202643394470215
132,362,1.8046910762786865,414,1.829406499862671
133,191,1.8084144592285156,320,1.8290414810180664
134,372,1.8044333457946777,495,1.8344831466674805
135,60,1.8056905269622803,469,1.8305933475494385
136,331,1.8049702644348145,353,1.8289291858673096
137,39,1.8060646057128906,374,1.829953670501709
138,8,1.8002569675445557,116,1.8249704837799072
139,1,1.8013267517089844,59,1.8218491077423096
140,66,1.8030312061309814,219,1.8230063915252686
141,211,1.810758352279663,365,1.8314599990844727
142,182,1.8092069625854492,428,1.8292591571807861
143,3,1.8001368045806885,19,1.8210806846618652
144,45,1.8047778606414795,159,1.8299508094787598
145,115,1.8082177639007568,348,1.8289248943328857
146,89,1.8052151203155518,197,1.829350471496582
147,37,1.8052520751953125,51,1.825456142425537
148,117,1.8083679676055908,270,1.8325998783111572
149,134,1.799731731414795,204,1.8198127746582031
150,67,1.8054468631744385,398,1.8298637866973877
151,16,1.7957208156585693,82,1.8258845806121826
152,94,1.8058247566223145,209,1.8303875923156738
153,130,1.8061723709106445,205,1.8303675651550293
154,318,1.8093247413635254,534,1.8294486999511719
155,299,1.8033056259155273,305,1.8248543739318848
156,15,1.80462646484375,60,1.8254351615905762
157,43,1.805260181427002,228,1.8295223712921143
158,196,1.810286521911621,340,1.8300604820251465
159,25,1.8039093017578125,320,1.8292815685272217
160,35,1.8048632144927979,50,1.8249540328979492
161,126,1.8057224750518799,189,1.8302438259124756
162,18,1.8047423362731934,48,1.82517671585083
163,90,1.8046269416809082,148,1.8246426582336426
164,301,1.79652738571167,333,1.826714038848877
