index,T1_CPU,T1_Time,T2_CPU,T2_Time
0,85,1.8045353889465332,297,1.8292317390441895
1,129,1.8265273571014404,53,1.8190090656280518
2,85,1.7983293533325195,267,1.8280208110809326
3,12,1.8037421703338623,169,1.8319628238677979
4,268,1.8107733726501465,537,1.835261344909668
5,451,1.8388667106628418,106,1.8260447978973389
6,207,1.8339653015136719,21,1.8216981887817383
7,306,1.8234550952911377,123,1.8234550952911377
8,397,1.8384227752685547,106,1.8263158798217773
9,159,1.824960470199585,75,1.8171000480651855
10,70,1.8049585819244385,190,1.829699993133545
11,89,1.8232831954956055,31,1.8153040409088135
12,3,1.8007397651672363,220,1.829662561416626
13,166,1.8256874084472656,76,1.8180477619171143
14,22,1.7997822761535645,60,1.8201243877410889
15,82,1.8040637969970703,401,1.8321146965026855
16,75,1.804809331893921,205,1.8296046257019043
17,52,1.8032832145690918,264,1.8306419849395752
18,67,1.8156006336212158,6,1.8156006336212158
19,94,1.8049304485321045,220,1.8295691013336182
20,330,1.8357951641082764,11,1.822805404663086
21,78,1.8256111145019531,29,1.8177409172058105
22,388,1.8349435329437256,173,1.8269691467285156
23,182,1.8332767486572266,16,1.8211052417755127
24,329,1.8318259716033936,160,1.8239290714263916
25,243,1.8336901664733887,22,1.8215456008911133
26,203,1.8311777114868164,88,1.8230974674224854
27,389,1.825289249420166,163,1.8152761459350586
28,236,1.8323390483856201,118,1.823810338973999
29,53,1.8037974834442139,128,1.8237013816833496
30,97,1.805342674255371,306,1.8300988674163818
31,106,1.8082551956176758,252,1.833014965057373
32,276,1.8336195945739746,45,1.8136205673217773
33,338,1.8324871063232422,143,1.8245046138763428
34,203,1.8258247375488281,12,1.815868854522705
35,451,1.832573413848877,174,1.8235995769500732
36,162,1.8112187385559082,571,1.840104579925537
37,19,1.7989072799682617,166,1.833571434020996
38,8,1.8014857769012451,93,1.8254456520080566
39,62,1.8233110904693604,4,1.8191196918487549
40,141,1.8073360919952393,314,1.832524061203003
41,79,1.8038249015808105,210,1.828157901763916
