index,T1_CPU,T1_Time,T2_CPU,T2_Time
193,179,1.829709529876709,68,1.8055918216705322
194,135,1.8063991069793701,481,1.8263931274414062
195,447,1.820500135421753,65,1.8001627922058105
196,19,1.805936574935913,158,1.8258750438690186
197,420,1.8294274806976318,184,1.8091039657592773
198,178,1.828601360321045,61,1.8036983013153076
199,461,1.8292803764343262,165,1.80948805809021
200,29,1.799175500869751,489,1.8212478160858154
201,1,1.7921366691589355,4,1.8123466968536377
202,128,1.8106160163879395,397,1.8351588249206543
203,91,1.803877830505371,232,1.8238377571105957
204,17,1.800072193145752,255,1.83011794090271
205,241,1.8221218585968018,95,1.8021204471588135
206,158,1.8261926174163818,68,1.8055202960968018
207,223,1.8278141021728516,1,1.8026373386383057
208,479,1.8295693397521973,183,1.8086273670196533
209,29,1.8012723922729492,356,1.8313086032867432
210,186,1.8257057666778564,1,1.801849603652954
211,40,1.8040406703948975,327,1.8280911445617676
212,122,1.8070108890533447,255,1.827075719833374
213,590,1.828855037689209,222,1.808950424194336
214,53,1.7966549396514893,190,1.8267130851745605
215,139,1.8111271858215332,608,1.831373929977417
216,35,1.8053843975067139,340,1.8292334079742432
217,116,1.8175568580627441,32,1.7975733280181885
218,312,1.8071889877319336,684,1.8321378231048584
219,75,1.804065227508545,290,1.8287363052368164
220,43,1.7975893020629883,103,1.8173837661743164
221,4,1.8008174896240234,261,1.825531005859375
222,500,1.829883337020874,71,1.8046154975891113
223,11,1.803663730621338,88,1.8244733810424805
224,224,1.829024314880371,85,1.8044822216033936
225,182,1.8292930126190186,80,1.8047592639923096
226,316,1.8297536373138428,47,1.805325984954834
227,25,1.804218053817749,148,1.8285865783691406
228,56,1.7956876754760742,148,1.82582426071167
229,90,1.805488109588623,510,1.829843521118164
230,46,1.802978515625,146,1.8229870796203613
231,323,1.834275245666504,113,1.8089230060577393
232,68,1.804844617843628,152,1.8254313468933105
233,224,1.8300254344940186,67,1.805011510848999
234,407,1.8248906135559082,193,1.8081345558166504
235,43,1.8204991817474365,6,1.8002381324768066
236,370,1.8230698108673096,15,1.8032612800598145
237,37,1.803593397140503,488,1.8288156986236572
238,89,1.8250172138214111,31,1.8047261238098145
239,341,1.831773042678833,143,1.806915044784546
240,349,1.828183889389038,90,1.8032445907592773
241,222,1.8029062747955322,564,1.8330140113830566
242,163,1.8300702571868896,53,1.8059637546539307
243,210,1.8305718898773193,55,1.8061573505401611
244,312,1.8294825553894043,113,1.8085029125213623
245,477,1.8220241069793701,99,1.8020892143249512
246,300,1.8297841548919678,89,1.8054113388061523
