,T1_CPU,T1_Time,T2_CPU,T2_Time
0,160,1.8248789310455322,333,1.8348770141601562
1,104,1.8276689052581787,71,1.8186931610107422
2,306,1.834015130996704,366,1.842378854751587
3,38,1.8135004043579102,270,1.8334574699401855
4,658,1.841245412826538,660,1.8511083126068115
5,543,1.8449151515960693,217,1.8331201076507568
6,299,1.8349335193634033,17,1.822843313217163
7,344,1.834296464920044,261,1.834296464920044
8,541,1.8473727703094482,361,1.8376359939575195
9,290,1.8413360118865967,275,1.833709955215454
10,120,1.8259689807891846,260,1.8389384746551514
11,122,1.8227903842926025,11,1.8227903842926025
12,80,1.824683666229248,300,1.836754322052002
13,154,1.8337409496307373,133,1.8259258270263672
14,10,1.8177454471588135,21,1.8254599571228027
15,150,1.8208675384521484,474,1.8408253192901611
16,130,1.8255186080932617,205,1.8334972858428955
17,70,1.8215384483337402,288,1.8378171920776367
18,77,1.8250272274017334,57,1.8210368156433105
19,184,1.8286633491516113,227,1.836616039276123
20,450,1.841517686843872,101,1.8254404067993164
21,34,1.8212876319885254,5,1.8172852993011475
22,457,1.8466076850891113,399,1.838479995727539
23,249,1.8364384174346924,115,1.8244774341583252
24,376,1.8456275463104248,363,1.8375227451324463
25,274,1.8335590362548828,15,1.8174703121185303
26,203,1.8383398056030273,165,1.8303501605987549
27,457,1.8444976806640625,369,1.8361876010894775
28,249,1.8414769172668457,247,1.8325088024139404
29,176,1.8337602615356445,135,1.8256704807281494
30,338,1.8378033638000488,418,1.845832347869873
31,216,1.8298285007476807,271,1.8408381938934326
32,304,1.8380131721496582,47,1.821955919265747
33,389,1.8452231884002686,317,1.8330414295196533
34,245,1.8334565162658691,41,1.821540117263794
35,542,1.8505702018737793,399,1.8385462760925293
36,370,1.8382933139801025,707,1.850541591644287
37,126,1.82196044921875,228,1.8320598602294922
38,96,1.8236806392669678,201,1.8318593502044678
39,157,1.83420729637146,81,1.825570821762085
40,312,1.830134391784668,428,1.8400757312774658
41,142,1.823826789855957,214,1.835723876953125
42,263,1.8301222324371338,139,1.8202548027038574
43,489,1.8457045555114746,411,1.8373689651489258
44,432,1.8364768028259277,379,1.826442003250122
45,163,1.8329293727874756,155,1.824913740158081
46,194,1.8199586868286133,203,1.8298776149749756
47,77,1.8231697082519531,21,1.8191804885864258
48,248,1.8306121826171875,137,1.8206119537353516
49,252,1.832587718963623,319,1.840872049331665
50,431,1.8400814533233643,99,1.819723129272461
51,68,1.821023941040039,68,1.825108528137207
52,58,1.819030523300171,246,1.8292820453643799
53,356,1.8364858627319336,71,1.8266119956970215
54,396,1.8281207084655762,41,1.820629358291626
55,295,1.8307690620422363,41,1.8210890293121338
56,275,1.8415987491607666,257,1.8326926231384277
57,28,1.8164615631103516,79,1.826509714126587
58,186,1.8334155082702637,51,1.8217277526855469
59,416,1.828124761581421,459,1.8380024433135986
60,222,1.8236141204833984,281,1.8332502841949463
61,316,1.841111660003662,303,1.8332531452178955
62,138,1.8233332633972168,263,1.8333852291107178
63,338,1.8335800170898438,342,1.8419880867004395
64,110,1.8270883560180664,77,1.8174033164978027
65,321,1.8310234546661377,187,1.8210244178771973
66,127,1.8280596733093262,125,1.8180146217346191
67,114,1.8263936042785645,141,1.834662675857544
68,66,1.8152120113372803,361,1.8375704288482666
69,326,1.8430578708648682,209,1.830453634262085
70,227,1.831737756729126,89,1.823758840560913
71,218,1.8335051536560059,386,1.842482566833496
72,96,1.8244121074676514,31,1.8143205642700195
73,291,1.8393988609313965,85,1.8269903659820557
