,T1_CPU,T1_Time,T2_CPU,T2_Time
0,170,1.827721357345581,297,1.8357014656066895
1,129,1.832850456237793,105,1.8251352310180664
2,170,1.8256816864013672,267,1.8355960845947266
3,24,1.8199717998504639,169,1.8318989276885986
4,536,1.842172384262085,537,1.8502569198608398
5,451,1.8453168869018555,211,1.8294093608856201
6,207,1.833958387374878,41,1.8216376304626465
7,306,1.842045545578003,245,1.8330912590026855
8,397,1.8396286964416504,211,1.8296904563903809
9,159,1.8360817432403564,149,1.827699899673462
10,140,1.8253467082977295,190,1.8335137367248535
11,89,1.829054594039917,61,1.8142848014831543
12,6,1.8168654441833496,220,1.8288211822509766
13,166,1.8336694240570068,151,1.8258633613586426
14,44,1.8218092918395996,60,1.8257174491882324
15,164,1.8281500339508057,401,1.8407199382781982
16,150,1.821373462677002,205,1.8314993381500244
17,104,1.81770658493042,264,1.8277063369750977
18,67,1.8267831802368164,11,1.8185484409332275
19,188,1.8301379680633545,220,1.8301379680633545
20,330,1.8355178833007812,21,1.8153467178344727
21,78,1.8279426097869873,57,1.8206162452697754
22,388,1.848728895187378,345,1.8388302326202393
23,182,1.8287556171417236,31,1.818695068359375
24,329,1.8359291553497314,319,1.834834337234497
25,243,1.8324289321899414,43,1.8204610347747803
26,203,1.829397439956665,175,1.829397439956665
27,389,1.8450229167938232,325,1.8324518203735352
28,236,1.8284032344818115,235,1.8284032344818115
29,106,1.817474365234375,128,1.8275468349456787
30,194,1.8315236568450928,306,1.8389101028442383
31,212,1.8264477252960205,252,1.8364806175231934
32,276,1.8306033611297607,89,1.8206725120544434
33,338,1.8404765129089355,285,1.8320062160491943
34,203,1.8318657875061035,23,1.822019338607788
35,451,1.8448641300201416,347,1.8363590240478516
36,324,1.8325402736663818,571,1.8483328819274902
37,38,1.8155174255371094,166,1.8254685401916504
38,16,1.8161156177520752,93,1.8161156177520752
39,62,1.8252902030944824,7,1.8170280456542969
40,282,1.8306727409362793,314,1.8407540321350098
41,158,1.826460599899292,210,1.838660478591919
42,193,1.8333446979522705,49,1.8212459087371826
43,412,1.8454253673553467,355,1.8375613689422607
44,370,1.841888427734375,331,1.8330039978027344
45,72,1.8210649490356445,119,1.830064296722412
46,149,1.8355402946472168,103,1.8232948780059814
