index,T1_CPU,T1_Time,T2_CPU,T2_Time
0,83,1.8056552410125732,310,1.8307278156280518
1,119,1.8177118301391602,45,1.7973501682281494
2,111,1.8081908226013184,305,1.8292038440704346
3,291,1.8090758323669434,584,1.8338799476623535
4,485,1.8290536403656006,106,1.8041205406188965
5,235,1.8220853805541992,9,1.7919628620147705
6,320,1.8354103565216064,125,1.8104352951049805
7,451,1.8243529796600342,133,1.804332971572876
8,209,1.8307969570159912,98,1.8055419921875
9,66,1.8050215244293213,216,1.8290495872497559
10,102,1.8262102603912354,21,1.8057210445404053
11,17,1.8052377700805664,250,1.825322151184082
12,161,1.826258659362793,71,1.8064544200897217
13,12,1.8050878047943115,42,1.8257715702056885
14,79,1.8054533004760742,428,1.8300154209136963
15,71,1.807159423828125,205,1.8311762809753418
16,46,1.8050498962402344,273,1.8292021751403809
17,64,1.815241813659668,7,1.795053243637085
18,93,1.8011655807495117,222,1.8211209774017334
19,375,1.8299307823181152,25,1.8054068088531494
20,61,1.825756549835205,18,1.8054451942443848
21,414,1.8300268650054932,182,1.8093130588531494
22,208,1.8283045291900635,31,1.8039684295654297
23,346,1.829164743423462,167,1.8089735507965088
24,249,1.828681230545044,10,1.8044753074645996
25,203,1.8294932842254639,85,1.8046181201934814
26,414,1.834214210510254,170,1.8091838359832764
27,241,1.8224530220031738,119,1.8024539947509766
28,146,1.82368803024292,72,1.8033561706542969
29,124,1.807626485824585,348,1.8279109001159668
30,107,1.8092072010040283,259,1.8300416469573975
31,286,1.828202486038208,36,1.8038661479949951
32,357,1.829965353012085,148,1.8098649978637695
33,486,1.8338251113891602,183,1.809739351272583
34,171,1.8082256317138672,622,1.8290808200836182
35,35,1.8045330047607422,189,1.8290061950683594
36,23,1.8049860000610352,134,1.829944133758545
37,98,1.8259847164154053,17,1.8051424026489258
38,147,1.8071362972259521,357,1.8282396793365479
39,76,1.8051514625549316,211,1.8302052021026611
40,219,1.8265626430511475,41,1.804692029953003
41,440,1.8286726474761963,187,1.7993109226226807
42,393,1.8299288749694824,174,1.8033113479614258
43,55,1.8042762279510498,136,1.825317144393921
44,169,1.8183088302612305,72,1.8041880130767822
45,46,1.8198771476745605,7,1.7988035678863525
46,239,1.8291852474212646,73,1.804250717163086
47,122,1.805593729019165,266,1.8255939483642578
48,359,1.8234217166900635,24,1.8031885623931885
49,45,1.8042969703674316,90,1.8240547180175781
50,8,1.802410364151001,205,1.8227832317352295
51,330,1.8267476558685303,46,1.8067898750305176
52,262,1.8249993324279785,123,1.8048069477081299
53,4,1.7938225269317627,75,1.8137779235839844
54,121,1.8270189762115479,4,1.797050952911377
55,190,1.8072528839111328,416,1.8272080421447754
56,76,1.8047020435333252,234,1.829599142074585
57,120,1.8037488460540771,262,1.8282527923583984
58,74,1.8043310642242432,252,1.8292646408081055
59,157,1.80922532081604,318,1.8291401863098145
60,43,1.8018193244934082,91,1.8220303058624268
61,267,1.8289954662322998,61,1.8048057556152344
62,139,1.8260204792022705,68,1.8058741092681885
63,117,1.8183693885803223,53,1.798391580581665
64,44,1.8035366535186768,334,1.8283336162567139
65,271,1.829406499862671,70,1.8046996593475342
66,222,1.8291754722595215,53,1.8051209449768066
67,107,1.8086357116699219,354,1.8285424709320068
68,113,1.8257050514221191,29,1.804405689239502
69,276,1.8294992446899414,52,1.8045573234558105
70,34,1.804476022720337,94,1.8249893188476562
71,6,1.801081657409668,67,1.8208949565887451
72,309,1.8285229206085205,12,1.8051033020019531
73,190,1.8276793956756592,61,1.7976641654968262
74,129,1.8240196704864502,9,1.7996973991394043
75,306,1.8300654888153076,87,1.8055734634399414
76,377,1.8204877376556396,79,1.8004932403564453
77,156,1.825326919555664,76,1.804464340209961
78,105,1.8245820999145508,49,1.8050205707550049
79,271,1.8268871307373047,132,1.806908130645752
80,277,1.8276243209838867,75,1.803267240524292
81,322,1.8043198585510254,715,1.8289575576782227
82,36,1.8247098922729492,17,1.804248571395874
83,56,1.8052892684936523,453,1.829289197921753
84,45,1.803837537765503,273,1.8291015625
85,256,1.8296329975128174,69,1.8054721355438232
86,359,1.8295753002166748,59,1.8055229187011719
87,66,1.8191075325012207,30,1.8049535751342773
88,54,1.8060429096221924,330,1.830338716506958
89,264,1.8287792205810547,90,1.8036885261535645
90,57,1.8042709827423096,264,1.8242549896240234
91,219,1.8271584510803223,50,1.802748680114746
92,128,1.8089056015014648,290,1.8288068771362305
93,232,1.8285725116729736,77,1.804673671722412
94,113,1.809575080871582,291,1.8304979801177979
95,489,1.8292386531829834,59,1.8043155670166016
96,326,1.8083775043487549,657,1.8333091735839844
97,134,1.8251841068267822,43,1.804243803024292
98,19,1.7925996780395508,100,1.8226101398468018
99,172,1.8248071670532227,79,1.804356575012207
100,109,1.8060407638549805,438,1.8300766944885254
101,427,1.8322148323059082,164,1.8023786544799805
102,52,1.8267762660980225,16,1.806351661682129
103,53,1.8033032417297363,189,1.8201067447662354
104,92,1.8034799098968506,252,1.8280150890350342
105,7,1.800398588180542,188,1.8254516124725342
106,552,1.8287043571472168,208,1.8087587356567383
107,17,1.801227331161499,41,1.8261277675628662
108,111,1.8082935810089111,380,1.828505516052246
