index,T1_CPU,T1_Time,T2_CPU,T2_Time
0,85,1.7965331077575684,297,1.826533555984497
1,129,1.827967643737793,52,1.8070194721221924
2,85,1.804095983505249,267,1.828230381011963
3,12,1.8040707111358643,169,1.8294744491577148
4,268,1.8083515167236328,537,1.828869342803955
5,451,1.8302369117736816,105,1.8087546825408936
6,207,1.8289196491241455,20,1.804975986480713
7,306,1.8258051872253418,122,1.805837631225586
8,397,1.820629596710205,105,1.800527572631836
9,159,1.816927194595337,74,1.7968544960021973
10,70,1.8023765087127686,190,1.822462797164917
11,89,1.8235692977905273,30,1.803126335144043
12,3,1.8000144958496094,220,1.8239109516143799
13,166,1.8256759643554688,75,1.803760290145874
14,22,1.8035154342651367,60,1.8234784603118896
15,82,1.806579828262329,401,1.8313007354736328
16,75,1.804412603378296,205,1.8293988704681396
17,52,1.8047950267791748,264,1.829023838043213
18,67,1.821007251739502,5,1.8004133701324463
19,94,1.7978408336639404,220,1.828066349029541
20,330,1.8278777599334717,10,1.8077161312103271
21,78,1.8254053592681885,28,1.804711103439331
22,388,1.8297240734100342,172,1.8084309101104736
23,182,1.8283100128173828,15,1.7982513904571533
24,329,1.8309056758880615,159,1.8105571269989014
25,243,1.8286972045898438,21,1.8041412830352783
26,203,1.828348159790039,87,1.7982983589172363
27,389,1.834136962890625,162,1.8041002750396729
28,236,1.8318264484405518,117,1.8019416332244873
29,53,1.803990125656128,128,1.8255829811096191
30,97,1.805046558380127,306,1.8300106525421143
31,106,1.8062500953674316,252,1.8260087966918945
32,276,1.8295683860778809,44,1.804201602935791
33,338,1.8271961212158203,142,1.8072068691253662
34,203,1.830183982849121,11,1.806049108505249
35,451,1.8250818252563477,173,1.805091381072998
36,162,1.8083088397979736,571,1.8288178443908691
37,19,1.7996399402618408,166,1.8322844505310059
38,8,1.8010337352752686,93,1.8218231201171875
39,62,1.8201234340667725,3,1.800154685974121
40,141,1.8101553916931152,314,1.8340065479278564
41,79,1.8039040565490723,210,1.8287074565887451
42,193,1.827606439590454,24,1.7975358963012695
43,412,1.8315649032592773,177,1.810206651687622
44,370,1.8277528285980225,165,1.8077642917633057
45,36,1.802647352218628,119,1.8271589279174805
46,149,1.8249962329864502,51,1.8041391372680664
47,41,1.8257744312286377,18,1.8048288822174072
48,234,1.8289499282836914,76,1.8051493167877197
49,234,1.8327572345733643,115,1.8079197406768799
50,316,1.8248043060302734,9,1.8003618717193604
51,51,1.8049449920654297,102,1.8251926898956299
52,4,1.8004708290100098,189,1.8253118991851807
53,315,1.8299007415771484,53,1.8056747913360596
54,313,1.827892541885376,11,1.7978925704956055
55,239,1.8288421630859375,11,1.8042466640472412
56,254,1.8292067050933838,120,1.808375358581543
57,16,1.799764633178711,90,1.8197636604309082
58,98,1.8206801414489746,7,1.8007335662841797
59,179,1.8007755279541016,390,1.820906400680542
60,55,1.805798053741455,206,1.8298656940460205
61,94,1.8050456047058105,231,1.829880714416504
62,77,1.80361008644104,246,1.8288779258728027
63,150,1.8026015758514404,304,1.8326354026794434
64,26,1.8063955307006836,80,1.826423168182373
65,234,1.828080177307129,41,1.804145336151123
66,146,1.8259153366088867,72,1.8050949573516846
67,103,1.8253281116485596,35,1.8042495250701904
68,50,1.8044679164886475,317,1.8289134502410889
69,239,1.8232462406158447,50,1.803560495376587
70,220,1.8315925598144531,59,1.806757926940918
71,106,1.8084945678710938,336,1.8284990787506104
72,123,1.8269281387329102,37,1.8069474697113037
73,267,1.82859468460083,58,1.8052661418914795
74,41,1.8063044548034668,106,1.8266639709472656
75,5,1.8014445304870605,47,1.8215186595916748
76,274,1.826561689376831,1,1.8021783828735352
77,191,1.8303444385528564,65,1.8002867698669434
78,121,1.8250925540924072,3,1.8004469871520996
79,269,1.828897476196289,64,1.8058140277862549
80,355,1.8290777206420898,81,1.7988202571868896
81,162,1.820561408996582,79,1.80055832862854
82,92,1.824925422668457,31,1.8032712936401367
83,262,1.8300049304962158,128,1.808668851852417
84,268,1.829516887664795,78,1.804337978363037
85,295,1.8092031478881836,653,1.829437017440796
86,5,1.8014099597930908,31,1.821237325668335
87,62,1.804875135421753,423,1.829270601272583
88,52,1.8044826984405518,240,1.8268399238586426
89,226,1.8285644054412842,49,1.804008960723877
90,340,1.8293366432189941,64,1.8047688007354736
91,57,1.826012134552002,14,1.7959647178649902
92,59,1.8042709827423096,314,1.8286702632904053
93,232,1.8295118808746338,91,1.8051679134368896
94,38,1.805509328842163,233,1.8294754028320312
95,193,1.8302650451660156,32,1.8002095222473145
96,124,1.8049812316894531,278,1.8249690532684326
97,227,1.821171760559082,79,1.80082106590271
98,111,1.8085250854492188,280,1.8298311233520508
99,430,1.8218152523040771,40,1.8018312454223633
100,298,1.8078899383544922,601,1.8286070823669434
101,142,1.8172450065612793,50,1.797288417816162
102,29,1.7978184223175049,113,1.8177952766418457
103,175,1.8215248584747314,81,1.8018176555633545
104,11,1.8069639205932617,380,1.831521987915039
105,107,1.8026387691497803,408,1.8326756954193115
106,400,1.8303399085998535,156,1.805173635482788
107,70,1.8255505561828613,26,1.804936408996582
108,35,1.8053274154663086,143,1.8297929763793945
109,69,1.8000476360321045,222,1.830085277557373
110,18,1.8053336143493652,189,1.8295543193817139
111,510,1.8219106197357178,195,1.8017466068267822
112,3,1.7959942817687988,12,1.8160102367401123
113,109,1.8091604709625244,358,1.8291494846343994
114,19,1.8044509887695312,45,1.825136423110962
115,214,1.8290343284606934,15,1.8041191101074219
116,239,1.8297665119171143,105,1.8095579147338867
117,29,1.804286241531372,83,1.8166444301605225
118,76,1.8251352310180664,20,1.8051867485046387
119,144,1.8110628128051758,349,1.8270833492279053
120,172,1.8282582759857178,38,1.8040616512298584
121,98,1.826406717300415,42,1.8058810234069824
122,169,1.8065552711486816,370,1.8265166282653809
123,21,1.8052711486816406,122,1.8302044868469238
124,122,1.8013293743133545,373,1.8313086032867432
125,89,1.8036234378814697,224,1.8283212184906006
126,228,1.830819845199585,90,1.8007993698120117
127,119,1.8249709606170654,45,1.8041694164276123
128,204,1.8095908164978027,413,1.8334572315216064
129,59,1.804466724395752,165,1.829329490661621
130,81,1.8039958477020264,279,1.8278799057006836
131,372,1.8291294574737549,116,1.8086977005004883
132,4,1.8007843494415283,108,1.8255629539489746
133,163,1.8083226680755615,461,1.829308032989502
134,72,1.7957093715667725,384,1.8254966735839844
135,303,1.822493314743042,11,1.8025181293487549
